GeneID,Acc_num,Main_Role,Subrole,Product,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hotlake_ucc_69374,CY41DRAFT_0032,,,hypothetical protein,,11718.9929009602,-1.12835204319125,0.289706154569335,-3.89481557569465,9.82734723355918e-05,0.00632844077512028
hotlake_ucc_69963,CY41DRAFT_0598,,,carbon starvation protein CstA,cstA,2853.82929325882,-1.00388828872288,0.223527198903094,-4.49112364691734,7.08484037311545e-06,0.00067168222759564
hotlake_ucc_70100,CY41DRAFT_0732,,,histone deacetylase superfamily protein,hda,449.166873541314,-1.06743671334018,0.22836884587295,-4.6741783418831,2.95132790769611e-06,0.000335762738298895
hotlake_ucc_70144,CY41DRAFT_0773,Signal transduction,Taxis,chemotaxis signal relay system methyl-accepting signal transducer,mcp,1830.60626773784,-1.02980454856654,0.266944019693985,-3.8577547073243,0.000114433403939477,0.00723261495639693
hotlake_ucc_70788,CY41DRAFT_1374,,,ABC-type mannitol/sorbitol/arabinitol uptake system substrate-binding component MtlE,mtlE,792.193813177744,-1.08581353246347,0.302977340424974,-3.58381102342653,0.000338617117869823,0.0154093363105294
hotlake_ucc_70799,CY41DRAFT_1384,Amino acid metabolism::Carbohydrate metabolism,General::Phenylalanine_ tyrosine and tryptophan biosynthesis,gluconokinase GntK,gntK,145.105475750596,1.36351212968605,0.25965644659191,5.25121616498518,1.51098229171091e-07,2.71420134821544e-05
hotlake_ucc_70800,CY41DRAFT_1385,Transport and binding proteins,Unknown substrate::Carbohydrates_ organic alcohols_ and acids,TRAP-type gluconate uptake system large permease component GntZ,gntZ,378.01912752408,2.04484610436653,0.290029899379635,7.05046655100179,1.78318877283043e-12,8.69431897381464e-10
hotlake_ucc_70801,CY41DRAFT_1386,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,TRAP-type gluconate uptake system small permease component GntY,gntY,140.234001812035,2.45993596620041,0.303061427618535,8.11695498675187,4.78025970288386e-16,4.07875659148565e-13
hotlake_ucc_70802,CY41DRAFT_1387,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,TRAP-type gluconate uptake system substrate-binding component GntX,gntX,1150.99601417303,2.99276917650566,0.260675155393752,11.4808377959344,1.64677018508779e-30,1.87347554723487e-27
hotlake_ucc_70830,CY41DRAFT_1411,Prosthetic groups_ cofactors_ and carriers,Riboflavin metabolism,GTP cyclohydrolase II,ribA,1156.78801980305,-1.80702867651744,0.392044189283093,-4.60924744177904,4.04129125459976e-06,0.000405674325057323
hotlake_ucc_70831,CY41DRAFT_1412,Unknown function,General,predicted integral membrane protein,,2535.99720731532,-1.27416038097354,0.355145388054813,-3.58771484532662,0.000333588829746977,0.0153856577827896
hotlake_ucc_70861,CY41DRAFT_1442,Carbohydrate metabolism,Pyruvate metabolism,acetate kinase AckA,ackA,408.236842076136,1.00159398262545,0.202707948408912,4.94106911192743,7.76953598850548e-07,0.000126273458708425
