GeneID,Acc_num,Main_Role,Subrole,Product,Gene
hotlake_ucc_124834,CD01DRAFT_3221,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,UDP-N-acetylmuramate dehydrogenase,
hotlake_ucc_124835,CD01DRAFT_3256,Xenobiotics biodegradation and metabolism,Benzoate degradation,acetyl-CoA acetyltransferase,
hotlake_ucc_80896,CD01DRAFT_0003,Regulatory functions::Signal transduction::Unknown function,Enzymes of unknown specificity::Two-component systems::Taxis::Small molecule interactions,two component signal transduction system histidine kinase,
hotlake_ucc_80897,CD01DRAFT_0004,,,COG3287 family protein of unknown function,
hotlake_ucc_80898,CD01DRAFT_0005,,,outer membrane porin,
hotlake_ucc_80900,CD01DRAFT_0006,Unknown function,Enzymes of unknown specificity,Diacylglycerol O-acyltransferase ,
hotlake_ucc_80901,CD01DRAFT_0007,,,hypothetical protein,
hotlake_ucc_80902,CD01DRAFT_0008,,,hypothetical protein,
hotlake_ucc_80903,CD01DRAFT_0009,,,hypothetical protein,
hotlake_ucc_80904,CD01DRAFT_0010,Prosthetic groups_ cofactors_ and carriers::Unknown function,Enzymes of unknown specificity::Ubiquinone and other terpenoid-quinone biosynthesis,bifunctional demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1_4-benzoquinol methylase UbiE,ubiE
hotlake_ucc_80905,CD01DRAFT_0011,,,ubiquinone biosynthesis protein UbiJ,ubiJ
hotlake_ucc_80906,CD01DRAFT_0012,Prosthetic groups_ cofactors_ and carriers,Ubiquinone and other terpenoid-quinone biosynthesis,2-polyprenylphenol 6-hydroxylase UbiB,ubiB
hotlake_ucc_80907,CD01DRAFT_0013,Amino acid metabolism,Histidine metabolism,phosphoribosyl-AMP cyclohydrolase HisI,hisI
hotlake_ucc_80908,CD01DRAFT_0014,Amino acid metabolism,Histidine metabolism,phosphoribosyl-ATP pyrophosphohydrolase HisE,hisE
hotlake_ucc_80909,CD01DRAFT_0015,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,sec-independent protein translocase protein TatA,tatA
hotlake_ucc_80910,CD01DRAFT_0016,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,sec-independent protein translocase protein TatB,tatB
hotlake_ucc_80911,CD01DRAFT_0017,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,sec-independent protein translocase protein TatC,tatC
hotlake_ucc_80912,CD01DRAFT_0018,Translation,tRNA and rRNA base modification,RNA methyltransferase_ RsmE family,
hotlake_ucc_80913,CD01DRAFT_0019,Prosthetic groups_ cofactors_ and carriers::Unknown function,General::Ubiquinone and other terpenoid-quinone biosynthesis,2-octaprenylphenol hydroxylase UbiI,ubiI
hotlake_ucc_80914,CD01DRAFT_0020,Prosthetic groups_ cofactors_ and carriers::Unknown function,General::Ubiquinone and other terpenoid-quinone biosynthesis,2-octaprenyl-6-methoxyphenol hydroxylase UbiH,ubiH
hotlake_ucc_80915,CD01DRAFT_0021,Intracellular trafficking_ assembly_ and processing,Peptidases,Xaa-Pro aminopeptidase PepP,pepP
hotlake_ucc_80916,CD01DRAFT_0022,Unknown function,General,hypothetical protein YgfB,ygfB
hotlake_ucc_80917,CD01DRAFT_0023,,,protein of unknown function DUF2796,
hotlake_ucc_80919,CD01DRAFT_0024,,,COG3495 family uncharacterized protein,
hotlake_ucc_80921,CD01DRAFT_0025,Transport and binding proteins,Unknown substrate,ABC-CD-type efflux system ATPase component,
hotlake_ucc_80922,CD01DRAFT_0026,Transport and binding proteins,Unknown substrate,ABC-CD-type efflux system permease component,
hotlake_ucc_80923,CD01DRAFT_0027,Unknown function,General,cell division protein ZapB,zapB
hotlake_ucc_80924,CD01DRAFT_0028,,,Z-ring-associated protein ZapA,zapA
hotlake_ucc_80926,CD01DRAFT_0030,Prosthetic groups_ cofactors_ and carriers::Unknown function,General::One carbon pool by folate,5-formyltetrahydrofolate cyclo-ligase YgfA,
hotlake_ucc_80927,CD01DRAFT_0031,,,hypothetical protein,
hotlake_ucc_80928,CD01DRAFT_0032,Amino acid metabolism,Valine_ leucine and isoleucine metabolism,biosynthetic threonine dehydratase IlvA2,ilvA2
hotlake_ucc_80929,CD01DRAFT_0033,Carbohydrate metabolism,Pentose phosphate pathway,ribose 5-phosphate isomerase RpiA,rpiA
hotlake_ucc_80930,CD01DRAFT_0034,Fatty acid and lipid metabolism,Fatty acid degradation,acyl-CoA dehydrogenase,acd
hotlake_ucc_80931,CD01DRAFT_0035,Metabolism of other amino acids and amines,Phosphonate and phosphinate metabolism,inorganic pyrophosphatase Ppa,ppa
hotlake_ucc_80932,CD01DRAFT_0036,,,putative protein conserved in bacteria,
hotlake_ucc_80933,CD01DRAFT_0037,Regulatory functions,General::Small molecule interactions,diguanylate cyclase/phosphodiesterase,
hotlake_ucc_80934,CD01DRAFT_0038,Regulatory functions::Signal transduction,Taxis::Small molecule interactions,response regulator receiver modulated diguanylate cyclase,
hotlake_ucc_80935,CD01DRAFT_0039,Amino acid metabolism,Phenylalanine_ tyrosine and tryptophan biosynthesis,3-dehydroquinate dehydratase II AroQ,aroQ
hotlake_ucc_80936,CD01DRAFT_0040,Fatty acid and lipid metabolism,Biosynthesis,acetyl-CoA carboxylase biotin carboxyl carrier protein AccB,accB
hotlake_ucc_80937,CD01DRAFT_0041,Fatty acid and lipid metabolism,Biosynthesis,acetyl-CoA carboxylase complex biotin carboxylase subunit AccC,accC
hotlake_ucc_80938,CD01DRAFT_0042,Translation::Unknown function,Enzymes of unknown specificity::Ribosomal proteins: synthesis and modification,ribosomal protein L11 methyltransferase PrmA,prmA
hotlake_ucc_80939,CD01DRAFT_0043,,,zinc-ribbon domain/Protein of unknown function (DUF3426),
hotlake_ucc_80940,CD01DRAFT_0044,Translation::Unknown function,tRNA and rRNA base modification::General,tRNA-dihydrouridine synthase DusB,dusB
hotlake_ucc_80941,CD01DRAFT_0045,Regulatory functions,DNA interactions,Fis family transcriptional regulator_ factor for inversion stimulation protein,fis
hotlake_ucc_80942,CD01DRAFT_0046,Nucleic acid metabolism,Purine metabolism,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase PurH,purH
hotlake_ucc_80943,CD01DRAFT_0047,Nucleic acid metabolism,Purine metabolism,phosphoribosylamine--glycine ligase PurD,purD
hotlake_ucc_80944,CD01DRAFT_0048,Transport and binding proteins,Porins and secretins,TonB-dependent Fe3+-dicitrate receptor fecA,fecA
hotlake_ucc_80946,CD01DRAFT_0049,Unknown function,Enzymes of unknown specificity,acetoin dehydrogenase,
hotlake_ucc_80947,CD01DRAFT_0050,Transport and binding proteins,Cations and iron carrying compounds,CPA2 family monovalent cation:protein antiporter,
hotlake_ucc_80948,CD01DRAFT_0051,Transcription,General,3' terminal RNA ribose 2'-O-methyltransferase Hen1,
