GeneID,Acc_num,Main_Role,Subrole,Product,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,hotlake_ucc_124834,CD01DRAFT_3221,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,UDP-N-acetylmuramate dehydrogenase,,2542.98785862046,0.357984441675678,0.224410960054702,1.59521817289323,0.110663456292582,0.175127605589231
2,hotlake_ucc_124835,CD01DRAFT_3256,Xenobiotics biodegradation and metabolism,Benzoate degradation,acetyl-CoA acetyltransferase,,100.671201607758,0.174689078344828,0.29130659193468,0.599674305976567,0.548723315229335,0.640586573911417
3,hotlake_ucc_80896,CD01DRAFT_0003,Regulatory functions::Signal transduction::Unknown function,Enzymes of unknown specificity::Two-component systems::Taxis::Small molecule interactions,two component signal transduction system histidine kinase,,3.30343199157616,-1.33037970567625,1.20966755254316,-1.09978952719639,0.271423836425503,0.370485013292592
4,hotlake_ucc_80897,CD01DRAFT_0004,,,COG3287 family protein of unknown function,,0,NA,NA,NA,NA,NA
5,hotlake_ucc_80898,CD01DRAFT_0005,,,outer membrane porin,,247.862848909335,-4.05927781235453,0.334216001808442,-12.145671632686,6.04838681573748e-34,2.27512396376587e-32
6,hotlake_ucc_80900,CD01DRAFT_0006,Unknown function,Enzymes of unknown specificity,Diacylglycerol O-acyltransferase ,,67.393843502362,0.01069300614509,0.28996555818893,0.036876814653011,0.970583226396919,0.978083869568456
7,hotlake_ucc_80901,CD01DRAFT_0007,,,hypothetical protein,,1340.96047836651,-0.593961938634301,0.26157296881363,-2.27073134249394,0.0231632464457447,0.045603734320963
8,hotlake_ucc_80902,CD01DRAFT_0008,,,hypothetical protein,,87.0093785765649,0.0139921435182435,0.260256099079795,0.0537629802633501,0.957124004310547,0.968261987293214
9,hotlake_ucc_80903,CD01DRAFT_0009,,,hypothetical protein,,7.30471394438925,-0.700685382771761,0.691177254363132,-1.01375642550244,0.310698992288094,0.412577887926349
10,hotlake_ucc_80904,CD01DRAFT_0010,Prosthetic groups_ cofactors_ and carriers::Unknown function,Enzymes of unknown specificity::Ubiquinone and other terpenoid-quinone biosynthesis,bifunctional demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1_4-benzoquinol methylase UbiE,ubiE,298.412018660201,0.11120012628076,0.147691182813687,0.752923256231478,0.451496032108226,0.552644705133724
11,hotlake_ucc_80905,CD01DRAFT_0011,,,ubiquinone biosynthesis protein UbiJ,ubiJ,102.629851862927,0.58439784827677,0.261293882388119,2.236553886894,0.025315511640016,0.0493444352445154
12,hotlake_ucc_80906,CD01DRAFT_0012,Prosthetic groups_ cofactors_ and carriers,Ubiquinone and other terpenoid-quinone biosynthesis,2-polyprenylphenol 6-hydroxylase UbiB,ubiB,295.334085527815,0.456138938649815,0.16480222968901,2.76779591823832,0.00564367839895267,0.012843554331997
