GeneID,Acc_num,Main_Role,Subrole,Product,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,hotlake_ucc_124834,CD01DRAFT_3221,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,UDP-N-acetylmuramate dehydrogenase,,2542.98785862046,-0.72616972593101,0.224124368148101,-3.24003022041387,0.00119517031987188,0.00342527933431414
2,hotlake_ucc_124835,CD01DRAFT_3256,Xenobiotics biodegradation and metabolism,Benzoate degradation,acetyl-CoA acetyltransferase,,100.671201607758,0.93396906500105,0.288958300284706,3.23219324061924,0.00122843952275193,0.00350266429519355
3,hotlake_ucc_80896,CD01DRAFT_0003,Regulatory functions::Signal transduction::Unknown function,Enzymes of unknown specificity::Two-component systems::Taxis::Small molecule interactions,two component signal transduction system histidine kinase,,3.30343199157616,-1.49919638047174,1.06993222522024,-1.40120686631635,0.161152221628254,0.24387910677359
4,hotlake_ucc_80897,CD01DRAFT_0004,,,COG3287 family protein of unknown function,,0,NA,NA,NA,NA,NA
5,hotlake_ucc_80898,CD01DRAFT_0005,,,outer membrane porin,,247.862848909335,3.76889350931506,0.324234017601208,11.6239916378873,3.11246720701981e-31,1.19372271704524e-29
6,hotlake_ucc_80900,CD01DRAFT_0006,Unknown function,Enzymes of unknown specificity,Diacylglycerol O-acyltransferase ,,67.393843502362,0.374310722564952,0.284467221541264,1.31583076790679,0.188230849870704,0.278008024848691
7,hotlake_ucc_80901,CD01DRAFT_0007,,,hypothetical protein,,1340.96047836651,1.71723329185837,0.261324342654095,6.5712718318454,4.98872878716864e-11,4.46588261222053e-10
8,hotlake_ucc_80902,CD01DRAFT_0008,,,hypothetical protein,,87.0093785765649,1.17001048544929,0.257481383050199,4.54405857071689,5.51813141941071e-06,2.43644809398812e-05
9,hotlake_ucc_80903,CD01DRAFT_0009,,,hypothetical protein,,7.30471394438925,1.41785315528111,0.672589557105534,2.10805109937001,0.035026569630257,0.0664519594537175
10,hotlake_ucc_80904,CD01DRAFT_0010,Prosthetic groups_ cofactors_ and carriers::Unknown function,Enzymes of unknown specificity::Ubiquinone and other terpenoid-quinone biosynthesis,bifunctional demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1_4-benzoquinol methylase UbiE,ubiE,298.412018660201,0.392321983059541,0.145373001770981,2.69872657426171,0.00696053385100218,0.0163935029651538
11,hotlake_ucc_80905,CD01DRAFT_0011,,,ubiquinone biosynthesis protein UbiJ,ubiJ,102.629851862927,-0.633246959646151,0.256780733638824,-2.4660999704785,0.0136593205533688,0.0294085096338903
12,hotlake_ucc_80906,CD01DRAFT_0012,Prosthetic groups_ cofactors_ and carriers,Ubiquinone and other terpenoid-quinone biosynthesis,2-polyprenylphenol 6-hydroxylase UbiB,ubiB,295.334085527815,-0.237118349230173,0.162450425325937,-1.45963513948593,0.144390376380894,0.223086553081382
13,hotlake_ucc_80907,CD01DRAFT_0013,Amino acid metabolism,Histidine metabolism,phosphoribosyl-AMP cyclohydrolase HisI,hisI,266.509955281536,-1.43837715430748,0.250842505927662,-5.73418428024426,9.79827551171026e-09,6.80832216728429e-08
14,hotlake_ucc_80908,CD01DRAFT_0014,Amino acid metabolism,Histidine metabolism,phosphoribosyl-ATP pyrophosphohydrolase HisE,hisE,192.959165612069,-1.67975188807162,0.287830452316133,-5.83590747453887,5.34985796652768e-09,3.86115086115617e-08
15,hotlake_ucc_80909,CD01DRAFT_0015,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,sec-independent protein translocase protein TatA,tatA,3441.89684784818,-1.47983070148269,0.277197171294596,-5.33854907166415,9.36933492340363e-08,5.62160095404218e-07
16,hotlake_ucc_80910,CD01DRAFT_0016,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,sec-independent protein translocase protein TatB,tatB,671.689643733995,-1.57979889617693,0.287936488270306,-5.48662278152767,4.09690695624699e-08,2.57436934015669e-07
17,hotlake_ucc_80911,CD01DRAFT_0017,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,sec-independent protein translocase protein TatC,tatC,1123.67428467725,-1.60832559294944,0.294293053144725,-5.46504776705862,4.62782167745585e-08,2.87365688923925e-07
18,hotlake_ucc_80912,CD01DRAFT_0018,Translation,tRNA and rRNA base modification,RNA methyltransferase_ RsmE family,,335.525972860378,-1.83252351991865,0.318462802030926,-5.75427807653557,8.70128269886862e-09,6.12219746726152e-08
19,hotlake_ucc_80913,CD01DRAFT_0019,Prosthetic groups_ cofactors_ and carriers::Unknown function,General::Ubiquinone and other terpenoid-quinone biosynthesis,2-octaprenylphenol hydroxylase UbiI,ubiI,260.509524730521,-0.446766674729017,0.155238213559145,-2.87794264367002,0.00400277909079316,0.0100506237504383
20,hotlake_ucc_80914,CD01DRAFT_0020,Prosthetic groups_ cofactors_ and carriers::Unknown function,General::Ubiquinone and other terpenoid-quinone biosynthesis,2-octaprenyl-6-methoxyphenol hydroxylase UbiH,ubiH,180.106977146275,-0.175865698191312,0.173947997881456,-1.01102456097921,0.312004674603673,0.419293125059969
